,B2,B3,B4,B5,B6,B7,B8,B8A,B11,B12,QA,Date,lon,lat,label
0,1311,1346,1178,1034,1092,1087,1074,1068,868,612,70000,201609,114.5115047612422,22.54802603444433,7
1,1429,1315,1123,1163,1335,1384,1374,1398,1074,693,230000,201610,114.5115047612422,22.54802603444433,7
2,1269,1209,968,968,969,1119,819,1090,762,554,30000,201611,114.5115047612422,22.54802603444433,7
3,1223,1152,835,919,920,1006,770,1007,671,575,10000,201612,114.5115047612422,22.54802603444433,7
4,1317,1121,839,800,777,895,790,819,653,446,40000,201701,114.5115047612422,22.54802603444433,7
5,1629,1458,1393,1316,1378,1527,1644,1481,1062,769,130000,201702,114.5115047612422,22.54802603444433,7
6,2203,1946,1763,1688,1823,1911,1618,1886,1075,689,740000,201703,114.5115047612422,22.54802603444433,7
7,1409,1297,1051,955,1067,994,1253,1069,690,592,140000,201704,114.5115047612422,22.54802603444433,7
8,1499,1412,1221,1013,1124,1206,1405,1212,810,643,-100,201705,114.5115047612422,22.54802603444433,7
9,1589,1527,1391,1072,1181,1419,1558,1355,931,694,-100,201706,114.5115047612422,22.54802603444433,7
10,1680,1643,1561,1131,1238,1632,1711,1499,1052,746,70000,201707,114.5115047612422,22.54802603444433,7
11,1251,1192,972,867,976,1263,1312,1042,727,478,120000,201708,114.5115047612422,22.54802603444433,7
12,1074,939,709,932,1016,1281,664,1138,788,553,40000,201709,114.5115047612422,22.54802603444433,7
13,1222,1122,890,1007,1234,1428,1346,1560,985,554,310000,201710,114.5115047612422,22.54802603444433,7
14,1061,959,566,751,772,769,465,752,473,295,20000,201711,114.5115047612422,22.54802603444433,7
15,1322,1190,924,944,943,914,1072,910,641,501,130000,201712,114.5115047612422,22.54802603444433,7
16,1167,1003,714,884,877,906,792,820,617,477,130000,201801,114.5115047612422,22.54802603444433,7
17,1395,1332,1065,985,990,1025,1172,939,654,453,80000,201802,114.5115047612422,22.54802603444433,7
18,1419,1416,1273,1335,1337,1442,1318,1487,1223,953,60000,201803,114.5115047612422,22.54802603444433,7
19,1681,1532,1390,1175,1306,1397,1529,1459,976,711,120000,201804,114.5115047612422,22.54802603444433,7
20,1248,1246,944,927,886,1014,1060,1096,767,500,50000,201805,114.5115047612422,22.54802603444433,7
21,1141,1124,848,893,990,1091,982,981,622,414,110000,201806,114.5115047612422,22.54802603444433,7
22,1325,1203,941,888,1035,1064,1045,1116,762,485,170000,201807,114.5115047612422,22.54802603444433,7
23,1176,1043,763,735,827,914,807,918,595,362,-100,201808,114.5115047612422,22.54802603444433,7
24,1027,883,586,583,619,764,570,720,429,240,30000,201809,114.5115047612422,22.54802603444433,7
25,1065,954,511,680,682,655,323,641,497,371,150000,201810,114.5115047612422,22.54802603444433,7
26,1426,1337,1248,1248,1171,1258,1274,1258,1037,714,80000,201811,114.5115047612422,22.54802603444433,7
27,1139,1150,1044,816,746,800,1009,790,661,458,40000,201812,114.5115047612422,22.54802603444433,7
28,1224,1052,835,1000,1113,1024,783,1035,798,682,50000,201901,114.5115047612422,22.54802603444433,7
29,1460,1331,1140,1172,1259,1398,1167,1433,1148,793,150000,201902,114.5115047612422,22.54802603444433,7
30,1565,1393,1185,1342,1416,1481,1174,1448,1162,877,130000,201903,114.5115047612422,22.54802603444433,7
31,2061,2198,2123,1711,1753,2046,2284,1976,1849,1302,40000,201904,114.5115047612422,22.54802603444433,7
32,1341,1330,1110,920,1046,1227,1219,1081,673,460,180000,201905,114.5115047612422,22.54802603444433,7
33,1527,1492,1444,1332,1638,1750,1742,1759,1241,835,60000,201906,114.5115047612422,22.54802603444433,7
34,1097,1042,746,952,1098,1281,830,1459,881,522,140000,201907,114.5115047612422,22.54802603444433,7
35,1194,1102,792,973,1233,1414,985,1376,701,388,230000,201908,114.5115047612422,22.54802603444433,7
36,1327,1336,1108,1223,1414,1590,1199,1559,1063,763,150000,201909,114.5115047612422,22.54802603444433,7
37,1221,1108,775,817,903,981,861,1011,552,319,250000,201910,114.5115047612422,22.54802603444433,7
38,1248,1119,805,978,1034,1099,852,964,641,356,90000,201911,114.5115047612422,22.54802603444433,7
39,1014,950,659,757,736,754,580,767,522,340,40000,201912,114.5115047612422,22.54802603444433,7
40,1014,925,616,680,677,700,526,672,542,347,20000,202001,114.5115047612422,22.54802603444433,7
41,1268,1140,843,835,808,915,764,966,669,409,60000,202002,114.5115047612422,22.54802603444433,7
42,1249,1129,875,864,956,1059,866,1044,785,538,110000,202003,114.5115047612422,22.54802603444433,7
43,1311,1181,932,981,1093,1059,992,1127,704,473,160000,202004,114.5115047612422,22.54802603444433,7
44,2728,2772,2950,2021,2304,2465,3084,2520,2438,1752,30000,202005,114.5115047612422,22.54802603444433,7
45,1268,1271,947,892,820,1206,796,900,941,586,20000,202006,114.5115047612422,22.54802603444433,7
46,1080,1159,884,1088,1217,1166,747,1288,1002,668,40000,202007,114.5115047612422,22.54802603444433,7
47,1249,1254,993,912,922,1261,1011,992,746,454,60000,202008,114.5115047612422,22.54802603444433,7
48,1348,1286,901,1004,1142,1171,837,1258,634,407,120000,202009,114.5115047612422,22.54802603444433,7
49,1022,1072,731,760,682,883,672,873,480,299,40000,202010,114.5115047612422,22.54802603444433,7
50,1219,1179,941,922,716,846,906,754,595,423,50000,202011,114.5115047612422,22.54802603444433,7
51,1271,1303,1023,1060,966,919,888,1023,619,412,40000,202012,114.5115047612422,22.54802603444433,7
52,1303,1251,976,876,869,1012,997,874,699,522,100000,202101,114.5115047612422,22.54802603444433,7
53,1279,1263,1059,970,916,1132,953,949,732,544,110000,202102,114.5115047612422,22.54802603444433,7
54,1477,1302,1126,1056,1047,1196,1219,1205,808,605,220000,202103,114.5115047612422,22.54802603444433,7
55,1704,1707,1859,1941,2118,2272,1845,2317,2109,1566,90000,202104,114.5115047612422,22.54802603444433,4
56,2298,2831,3764,3673,3918,4372,3877,4438,5018,3298,50000,202105,114.5115047612422,22.54802603444433,4
57,1755,2083,2804,2638,3098,3497,2874,3515,3627,2247,190000,202106,114.5115047612422,22.54802603444433,4
58,2332,2914,3811,3654,3972,4391,4039,4397,4815,3069,110000,202107,114.5115047612422,22.54802603444433,4
59,1404,1563,1836,1704,1855,2082,1760,1993,2007,1262,110000,202108,114.5115047612422,22.54802603444433,4
60,1722,1800,1986,1753,2011,2253,2148,2352,2100,1394,90000,202109,114.5115047612422,22.54802603444433,4
61,1678,1781,2098,2336,2471,2891,2268,2898,2732,1865,230000,202110,114.5115047612422,22.54802603444433,4
62,1611,1773,2014,2136,2352,2477,2111,2679,2615,1995,90000,202111,114.5115047612422,22.54802603444433,4
63,1593,1746,1976,2168,2243,2444,2251,2538,2543,2052,40000,202112,114.5115047612422,22.54802603444433,4
