,B2,B3,B4,B5,B6,B7,B8,B8A,B11,B12,QA,Date,lon,lat,label
0,1051,1031,745,709,775,844,1077,910,564,364,120000,201609,114.51044592998711,22.54732074125608,7
1,1598,1416,1207,1269,1596,1782,1739,1865,1402,1008,440000,201610,114.51044592998711,22.54732074125608,7
2,1235,1139,945,842,801,927,1111,906,691,455,170000,201611,114.51044592998711,22.54732074125608,7
3,1246,1082,830,898,875,822,851,909,771,472,70000,201612,114.51044592998711,22.54732074125608,7
4,1006,885,576,840,795,727,471,893,704,458,10000,201701,114.51044592998711,22.54732074125608,7
5,1432,1268,1094,960,1023,1027,1023,998,864,631,80000,201702,114.51044592998711,22.54732074125608,7
6,2228,1974,1760,1681,1789,1865,1692,1797,1061,641,700000,201703,114.51044592998711,22.54732074125608,7
7,1247,1152,952,1014,1014,1018,1132,958,835,576,180000,201704,114.51044592998711,22.54732074125608,7
8,1231,1202,952,1078,1150,1113,1325,1169,878,562,-100,201705,114.51044592998711,22.54732074125608,7
9,1216,1252,952,1143,1287,1208,1518,1380,922,549,-100,201706,114.51044592998711,22.54732074125608,7
10,1201,1302,952,1208,1424,1303,1712,1592,966,536,110000,201707,114.51044592998711,22.54732074125608,7
11,1153,1188,869,864,992,1178,1474,1307,772,444,220000,201708,114.51044592998711,22.54732074125608,7
12,1138,1109,854,809,1101,1142,1191,1100,827,496,230000,201709,114.51044592998711,22.54732074125608,7
13,1111,922,626,874,1027,1164,863,1206,767,461,240000,201710,114.51044592998711,22.54732074125608,7
14,1377,1419,1253,1384,1686,1840,1589,1942,1290,795,80000,201711,114.51044592998711,22.54732074125608,7
15,1296,1127,864,926,905,888,779,919,714,454,80000,201712,114.51044592998711,22.54732074125608,7
16,1081,944,620,846,864,859,660,919,796,552,80000,201801,114.51044592998711,22.54732074125608,7
17,1254,1085,864,837,830,978,825,1024,791,529,80000,201802,114.51044592998711,22.54732074125608,7
18,1144,1057,740,835,788,990,637,955,752,494,40000,201803,114.51044592998711,22.54732074125608,7
19,1575,1356,1088,1107,1218,1356,1038,1271,896,585,170000,201804,114.51044592998711,22.54732074125608,7
20,1335,1345,1131,917,1021,1177,1263,1088,916,573,130000,201805,114.51044592998711,22.54732074125608,7
21,1156,1073,885,766,903,1009,1130,1036,752,477,320000,201806,114.51044592998711,22.54732074125608,7
22,1091,985,697,846,1143,1190,1012,1171,695,373,160000,201807,114.51044592998711,22.54732074125608,7
23,1081,990,677,746,901,970,843,966,573,315,-100,201808,114.51044592998711,22.54732074125608,7
24,1072,995,657,646,659,750,675,762,451,257,60000,201809,114.51044592998711,22.54732074125608,7
25,1025,959,735,1134,1044,1336,740,1323,1127,907,100000,201810,114.51044592998711,22.54732074125608,7
26,1387,1269,1060,919,995,1057,999,1028,951,704,110000,201811,114.51044592998711,22.54732074125608,7
27,1159,1061,908,801,772,774,859,814,646,529,160000,201812,114.51044592998711,22.54732074125608,7
28,1548,1455,1319,1206,1162,1253,1414,1277,990,714,150000,201901,114.51044592998711,22.54732074125608,7
29,1593,1479,1328,1169,1215,1293,1366,1329,1114,843,160000,201902,114.51044592998711,22.54732074125608,7
30,1606,1419,1276,1152,1320,1341,1344,1369,1085,755,410000,201903,114.51044592998711,22.54732074125608,7
31,1855,1891,1913,2058,2199,2426,2051,2504,2483,1779,110000,201904,114.51044592998711,22.54732074125608,7
32,1387,1305,1072,964,1023,1076,1115,1140,732,475,150000,201905,114.51044592998711,22.54732074125608,7
33,1470,1388,1259,913,1038,1254,1328,1177,819,528,120000,201906,114.51044592998711,22.54732074125608,7
34,1334,1351,1157,1065,1343,1671,1211,1652,987,691,190000,201907,114.51044592998711,22.54732074125608,7
35,1401,1325,1116,1049,1320,1505,1431,1641,1136,675,230000,201908,114.51044592998711,22.54732074125608,7
36,1283,1345,1160,1003,1112,1408,1458,1302,903,618,180000,201909,114.51044592998711,22.54732074125608,7
37,1910,2173,2622,2587,2900,3201,2910,3305,3535,2435,130000,201910,114.51044592998711,22.54732074125608,4
38,2342,2833,3481,3564,3915,4167,4046,4315,4856,3808,120000,201911,114.51044592998711,22.54732074125608,4
39,1577,1889,2597,2585,2824,2904,2678,2847,2834,2111,20000,201912,114.51044592998711,22.54732074125608,4
40,1633,1873,2280,2394,2441,2545,2406,2493,2291,1832,10000,202001,114.51044592998711,22.54732074125608,4
41,1728,1865,2232,2211,2393,2587,2391,2562,2536,2006,30000,202002,114.51044592998711,22.54732074125608,4
42,1691,1858,2197,1998,2139,2406,2345,2384,2228,1606,40000,202003,114.51044592998711,22.54732074125608,4
43,1693,1806,2078,2111,2357,2503,2208,2591,2428,1831,30000,202004,114.51044592998711,22.54732074125608,4
