,B2,B3,B4,B5,B6,B7,B8,B8A,B11,B12,QA,Date,lon,lat,label
0,882,794,494,748,1337,1665,1038,1673,731,344,90000,201609,114.51298712499931,22.547790936714915,7
1,1474,1318,1055,1241,1857,1886,1658,2178,1345,796,330000,201610,114.51298712499931,22.547790936714915,7
2,1187,1032,826,906,979,1032,1005,1126,914,547,150000,201611,114.51298712499931,22.547790936714915,7
3,1283,1173,978,1200,1233,1383,1060,1530,1252,915,70000,201612,114.51298712499931,22.547790936714915,7
4,1167,1079,827,910,1019,1079,799,1238,906,634,70000,201701,114.51298712499931,22.547790936714915,7
5,1338,1213,935,1205,1562,1507,1231,1711,1192,748,200000,201702,114.51298712499931,22.547790936714915,7
6,2252,1990,1754,1718,1830,1920,1647,1942,1026,623,730000,201703,114.51298712499931,22.547790936714915,7
7,1264,1161,889,1242,1330,1386,927,1443,1111,839,110000,201704,114.51298712499931,22.547790936714915,7
8,2969,2703,2594,2493,2718,2893,2808,2881,2487,1863,710000,201705,114.51298712499931,22.547790936714915,7
9,1999,1871,1606,1752,2215,2630,2038,2443,1727,1145,-100,201706,114.51298712499931,22.547790936714915,7
10,1030,1039,619,1012,1713,2367,1269,2005,968,428,70000,201707,114.51298712499931,22.547790936714915,7
11,1034,1024,719,1171,1530,2038,1073,2009,1317,760,90000,201708,114.51298712499931,22.547790936714915,7
12,1041,972,660,756,1313,1346,1607,1431,660,303,100000,201709,114.51298712499931,22.547790936714915,7
13,1115,999,677,806,1169,1616,1588,1424,665,322,150000,201710,114.51298712499931,22.547790936714915,7
14,1129,1040,776,964,1205,1658,1889,1724,825,432,110000,201711,114.51298712499931,22.547790936714915,7
15,1241,1080,816,1086,1160,1210,868,1261,900,614,50000,201712,114.51298712499931,22.547790936714915,7
16,1070,950,727,866,1029,1178,1009,1187,832,569,290000,201801,114.51298712499931,22.547790936714915,7
17,1226,1086,814,987,1031,1034,675,1171,840,558,50000,201802,114.51298712499931,22.547790936714915,7
18,1127,1006,775,1043,1096,1366,788,1301,1197,747,130000,201803,114.51298712499931,22.547790936714915,7
19,1591,1393,1109,1212,1303,1507,1044,1474,1279,779,110000,201804,114.51298712499931,22.547790936714915,7
20,1059,968,701,1134,1300,1334,995,1412,1153,689,40000,201805,114.51298712499931,22.547790936714915,7
21,1042,915,658,993,1327,1569,1027,1497,982,605,270000,201806,114.51298712499931,22.547790936714915,7
22,1120,1084,749,942,1416,1775,1525,2010,1030,495,150000,201807,114.51298712499931,22.547790936714915,7
23,1074,1039,695,868,1307,1617,1451,1763,847,412,-100,201808,114.51298712499931,22.547790936714915,7
24,1029,995,641,795,1199,1460,1377,1516,664,330,80000,201809,114.51298712499931,22.547790936714915,7
25,1094,1115,900,979,1245,1458,2047,1518,954,619,260000,201810,114.51298712499931,22.547790936714915,7
26,1242,1121,971,1251,1474,1598,1419,1825,1433,948,270000,201811,114.51298712499931,22.547790936714915,7
27,881,761,571,958,1016,1129,451,1180,1070,725,20000,201812,114.51298712499931,22.547790936714915,7
28,1298,1200,994,1237,1438,1508,1273,1690,1230,1110,200000,201901,114.51298712499931,22.547790936714915,7
29,1870,1703,1593,1606,1765,1923,1812,2005,1807,1320,310000,201902,114.51298712499931,22.547790936714915,7
30,1535,1395,1212,1429,1673,1658,1492,1880,1426,1098,440000,201903,114.51298712499931,22.547790936714915,7
31,1457,1399,1243,1787,2249,2360,1787,2400,2080,1335,220000,201904,114.51298712499931,22.547790936714915,7
