,B2,B3,B4,B5,B6,B7,B8,B8A,B11,B12,QA,Date,lon,lat,label
0,1013,898,557,585,611,849,354,863,554,284,20000,201609,114.51256359249729,22.548496229903165,7
1,1454,1295,1037,1170,1266,1613,1298,1359,1047,500,190000,201610,114.51256359249729,22.548496229903165,7
2,1086,920,590,670,678,733,449,709,683,352,20000,201611,114.51256359249729,22.548496229903165,7
3,1081,909,541,741,723,817,400,761,825,475,10000,201612,114.51256359249729,22.548496229903165,7
4,1035,952,467,708,811,738,289,805,695,454,20000,201701,114.51256359249729,22.548496229903165,7
5,1245,1061,731,832,863,924,554,901,626,449,90000,201702,114.51256359249729,22.548496229903165,7
6,2182,1921,1684,1602,1658,1762,1463,1703,853,507,460000,201703,114.51256359249729,22.548496229903165,7
7,1134,983,644,763,641,819,470,762,678,440,50000,201704,114.51256359249729,22.548496229903165,7
8,1120,980,627,746,756,848,456,871,666,399,-100,201705,114.51256359249729,22.548496229903165,7
9,1107,977,611,730,872,877,442,980,655,358,-100,201706,114.51256359249729,22.548496229903165,7
10,1094,975,595,714,988,907,429,1089,644,317,40000,201707,114.51256359249729,22.548496229903165,7
11,931,795,483,596,729,655,390,893,658,318,40000,201708,114.51256359249729,22.548496229903165,7
12,981,810,507,627,910,965,440,1133,485,218,20000,201709,114.51256359249729,22.548496229903165,7
13,1079,931,586,780,1134,1161,503,1153,631,333,30000,201710,114.51256359249729,22.548496229903165,7
14,1062,892,549,793,1183,1511,538,1499,818,427,40000,201711,114.51256359249729,22.548496229903165,7
15,1190,1007,697,758,761,822,497,745,655,408,70000,201712,114.51256359249729,22.548496229903165,7
16,1019,857,528,695,709,722,419,752,762,527,40000,201801,114.51256359249729,22.548496229903165,7
17,1175,978,653,711,672,726,497,774,629,394,30000,201802,114.51256359249729,22.548496229903165,7
18,1059,956,712,796,857,889,617,825,746,538,70000,201803,114.51256359249729,22.548496229903165,7
19,1567,1366,1039,1073,1122,1292,941,1238,961,641,160000,201804,114.51256359249729,22.548496229903165,7
20,1019,868,534,559,694,793,375,691,578,328,20000,201805,114.51256359249729,22.548496229903165,7
21,1030,893,555,608,649,842,480,883,587,331,40000,201806,114.51256359249729,22.548496229903165,7
22,1050,918,551,701,1118,1252,484,1121,638,295,30000,201807,114.51256359249729,22.548496229903165,7
23,1067,960,561,664,968,1027,435,1011,548,260,-100,201808,114.51256359249729,22.548496229903165,7
24,1085,1002,572,627,819,803,386,902,458,225,30000,201809,114.51256359249729,22.548496229903165,7
25,1080,1016,600,884,1173,1600,570,1676,1024,602,110000,201810,114.51256359249729,22.548496229903165,7
26,1130,980,610,721,698,815,443,824,616,383,30000,201811,114.51256359249729,22.548496229903165,7
27,859,699,408,488,457,515,260,473,413,264,20000,201812,114.51256359249729,22.548496229903165,7
28,1162,953,636,833,793,927,500,828,686,446,60000,201901,114.51256359249729,22.548496229903165,7
29,1433,1311,1077,1132,1196,1293,1140,1350,1160,833,190000,201902,114.51256359249729,22.548496229903165,7
30,1457,1170,885,972,1101,1196,858,1173,788,512,230000,201903,114.51256359249729,22.548496229903165,7
31,1768,1801,1641,1491,1811,1947,1634,2122,1717,1205,180000,201904,114.51256359249729,22.548496229903165,7
32,1151,989,678,771,932,864,608,1035,741,419,60000,201905,114.51256359249729,22.548496229903165,7
33,977,881,523,663,869,961,479,913,492,225,30000,201906,114.51256359249729,22.548496229903165,7
34,972,900,524,763,1155,1308,432,1170,811,429,20000,201907,114.51256359249729,22.548496229903165,7
35,1201,1060,697,740,1111,1322,639,1203,741,341,70000,201908,114.51256359249729,22.548496229903165,7
36,1366,1301,1099,987,1229,1255,978,1399,859,551,120000,201909,114.51256359249729,22.548496229903165,7
37,1197,1007,621,726,990,1034,501,959,514,228,60000,201910,114.51256359249729,22.548496229903165,7
38,1189,1027,653,728,796,948,550,1035,514,308,50000,201911,114.51256359249729,22.548496229903165,7
39,972,921,494,614,555,646,298,606,489,246,30000,201912,114.51256359249729,22.548496229903165,7
40,1021,954,575,646,591,605,319,595,506,322,20000,202001,114.51256359249729,22.548496229903165,7
41,1246,1066,700,762,801,827,497,796,713,451,60000,202002,114.51256359249729,22.548496229903165,7
42,1198,1070,706,777,770,835,552,753,613,334,20000,202003,114.51256359249729,22.548496229903165,7
