,Unnamed: 0,B2,B3,B4,B5,B6,B7,B8,B8A,B11,B12,QA,Date,lon,lat,label
51,51,1569,1634,1727,1656,1807,1812,2070,1961,1416,1138,50000,202012,114.51192829374423,22.5475558389855,4
52,52,2077,2266,2572,1884,1978,2158,2862,2308,1785,1366,10000,202101,114.51192829374423,22.5475558389855,4
53,53,1670,1811,1945,1899,2060,2270,2306,2237,1991,1486,70000,202102,114.51192829374423,22.5475558389855,4
54,54,1737,1708,1838,1562,1817,1949,2225,1942,1893,1419,140000,202103,114.51192829374423,22.5475558389855,4
55,55,1596,1726,1855,2128,2344,2558,2066,2572,2514,1769,140000,202104,114.51192829374423,22.5475558389855,4
56,56,2366,2793,3377,3547,3788,4242,3688,4455,4724,3169,50000,202105,114.51192829374423,22.5475558389855,4
57,57,1843,2132,2650,2597,2783,3192,2638,3237,3408,2273,140000,202106,114.51192829374423,22.5475558389855,4
58,58,2126,2251,2417,1981,2245,2632,2560,2644,2178,1353,60000,202107,114.51192829374423,22.5475558389855,4
59,59,1883,2182,2392,2112,2431,2751,2397,2678,2616,1671,60000,202108,114.51192829374423,22.5475558389855,4
60,60,1845,2114,2407,2159,2585,2881,2703,3000,2658,1751,100000,202109,114.51192829374423,22.5475558389855,4
61,61,2052,2465,2861,2798,3226,3565,3379,3639,3468,2432,150000,202110,114.51192829374423,22.5475558389855,4
62,62,1560,1852,2311,2285,2480,2645,2255,2650,2599,2034,30000,202111,114.51192829374423,22.5475558389855,4
63,63,1462,1554,1804,1844,1959,2038,1810,2034,2094,1722,30000,202112,114.51192829374423,22.5475558389855,4
