,B2,B3,B4,B5,B6,B7,B8,B8A,B11,B12,QA,Date,lon,lat,label
0,848,716,440,423,385,396,304,377,156,106,10000,201609,114.51256359249729,22.5475558389855,7
1,1515,1363,1106,1153,1393,1545,1561,1608,1240,842,280000,201610,114.51256359249729,22.5475558389855,7
2,1104,961,584,532,445,439,398,386,213,115,20000,201611,114.51256359249729,22.5475558389855,7
3,1127,976,572,507,395,419,352,396,199,117,20000,201612,114.51256359249729,22.5475558389855,7
4,1045,909,466,394,254,349,214,241,159,125,50000,201701,114.51256359249729,22.5475558389855,7
5,1318,1156,753,694,635,579,522,545,238,135,60000,201702,114.51256359249729,22.5475558389855,7
6,2207,1953,1703,1590,1666,1711,1514,1628,767,440,460000,201703,114.51256359249729,22.5475558389855,7
7,1162,1055,689,643,483,467,434,445,236,145,80000,201704,114.51256359249729,22.5475558389855,7
8,1087,966,608,567,435,437,388,432,217,140,-100,201705,114.51256359249729,22.5475558389855,7
9,1012,877,528,491,387,407,343,419,198,135,-100,201706,114.51256359249729,22.5475558389855,7
10,937,789,448,415,339,377,298,406,180,130,30000,201707,114.51256359249729,22.5475558389855,7
11,936,812,466,413,359,383,316,279,224,135,10000,201708,114.51256359249729,22.5475558389855,7
12,1104,989,737,634,564,691,630,649,373,248,20000,201709,114.51256359249729,22.5475558389855,7
13,1058,863,543,522,494,540,456,502,191,110,30000,201710,114.51256359249729,22.5475558389855,7
14,1002,821,496,496,378,466,358,423,197,109,20000,201711,114.51256359249729,22.5475558389855,7
15,1194,1014,682,649,524,581,483,536,237,140,40000,201712,114.51256359249729,22.5475558389855,7
16,992,810,487,554,405,448,375,400,238,151,90000,201801,114.51256359249729,22.5475558389855,7
17,1224,1073,692,622,558,543,469,472,289,185,50000,201802,114.51256359249729,22.5475558389855,7
18,1098,935,601,593,542,601,472,536,283,188,30000,201803,114.51256359249729,22.5475558389855,7
19,1583,1399,1044,1013,1043,1082,943,1039,557,344,450000,201804,114.51256359249729,22.5475558389855,7
20,989,805,483,480,397,370,318,251,197,126,90000,201805,114.51256359249729,22.5475558389855,7
21,993,781,524,500,513,494,461,450,275,177,30000,201806,114.51256359249729,22.5475558389855,7
22,1056,903,543,477,445,564,398,474,197,112,10000,201807,114.51256359249729,22.5475558389855,7
23,1013,857,514,445,405,473,366,389,175,94,-100,201808,114.51256359249729,22.5475558389855,7
24,971,811,486,414,366,383,334,304,153,77,10000,201809,114.51256359249729,22.5475558389855,7
25,862,695,425,479,383,312,303,247,268,160,280000,201810,114.51256359249729,22.5475558389855,7
26,1253,1050,874,907,1094,1078,1102,1202,712,362,280000,201811,114.51256359249729,22.5475558389855,7
27,856,657,395,353,278,265,228,211,144,73,40000,201812,114.51256359249729,22.5475558389855,7
28,1141,956,600,597,507,558,457,489,235,125,50000,201901,114.51256359249729,22.5475558389855,7
29,1918,1818,1700,1713,1874,1999,1850,2095,1787,1269,270000,201902,114.51256359249729,22.5475558389855,7
30,1485,1230,920,887,916,956,832,913,371,210,90000,201903,114.51256359249729,22.5475558389855,7
31,1487,1396,1195,1235,1282,1429,1128,1406,1193,868,50000,201904,114.51256359249729,22.5475558389855,7
32,1440,1198,946,876,1005,1056,1361,1051,832,428,400000,201905,114.51256359249729,22.5475558389855,7
33,951,736,477,540,563,471,451,492,222,143,70000,201906,114.51256359249729,22.5475558389855,7
34,956,835,505,567,479,526,387,376,250,141,50000,201907,114.51256359249729,22.5475558389855,7
35,1075,880,594,657,718,794,569,680,431,284,40000,201908,114.51256359249729,22.5475558389855,7
36,1298,1213,1027,961,897,922,929,979,730,540,150000,201909,114.51256359249729,22.5475558389855,7
37,1149,937,595,531,583,650,479,544,237,123,20000,201910,114.51256359249729,22.5475558389855,7
38,1191,1019,672,719,680,603,527,540,451,320,60000,201911,114.51256359249729,22.5475558389855,7
39,944,828,480,487,362,468,283,360,331,195,20000,201912,114.51256359249729,22.5475558389855,7
40,960,895,555,713,646,611,325,609,529,377,20000,202001,114.51256359249729,22.5475558389855,7
41,1168,1042,729,997,971,1111,609,1063,985,689,40000,202002,114.51256359249729,22.5475558389855,7
42,1125,984,709,794,826,830,573,827,717,438,30000,202003,114.51256359249729,22.5475558389855,7
43,1249,1072,787,824,903,889,703,858,570,376,40000,202004,114.51256359249729,22.5475558389855,7
44,1235,1105,892,1095,1109,1331,818,1206,1288,927,70000,202005,114.51256359249729,22.5475558389855,7
45,931,893,532,847,869,872,309,852,855,525,40000,202006,114.51256359249729,22.5475558389855,7
46,2979,2989,3034,2982,3022,3268,2786,3207,2710,1930,40000,202007,114.51256359249729,22.5475558389855,7
47,994,948,531,651,687,845,363,830,789,509,30000,202008,114.51256359249729,22.5475558389855,7
48,1258,1099,793,759,893,992,712,898,568,325,370000,202009,114.51256359249729,22.5475558389855,7
49,1053,976,669,985,1098,1140,580,1231,1157,887,110000,202010,114.51256359249729,22.5475558389855,7
50,1013,895,489,501,439,573,323,548,460,351,70000,202011,114.51256359249729,22.5475558389855,7
51,1150,1009,648,695,727,784,515,757,588,371,50000,202012,114.51256359249729,22.5475558389855,7
52,1158,1055,659,985,994,1187,451,1170,927,770,40000,202101,114.51256359249729,22.5475558389855,7
53,1130,994,668,691,698,659,470,685,632,438,80000,202102,114.51256359249729,22.5475558389855,7
54,1373,1176,927,1118,1243,1270,842,1277,1044,793,140000,202103,114.51256359249729,22.5475558389855,7
55,1177,1063,750,762,756,835,532,763,686,474,60000,202104,114.51256359249729,22.5475558389855,7
56,1132,1065,767,897,791,1143,454,1148,1232,798,70000,202105,114.51256359249729,22.5475558389855,7
57,1562,1669,2056,2026,2292,2407,2009,2660,2819,1915,310000,202106,114.51256359249729,22.5475558389855,4
58,1181,1090,1132,1127,1225,1363,1057,1379,1113,717,130000,202107,114.51256359249729,22.5475558389855,4
59,1235,1361,1590,1852,2099,2171,1465,2246,2072,1372,220000,202108,114.51256359249729,22.5475558389855,4
60,1535,1671,2028,2016,2277,2447,2068,2465,2351,1445,60000,202109,114.51256359249729,22.5475558389855,4
61,1898,2494,3127,3016,3404,3718,3281,3738,3934,2777,90000,202110,114.51256359249729,22.5475558389855,4
62,1671,2058,2621,2519,2728,2979,2722,2955,2917,2324,20000,202111,114.51256359249729,22.5475558389855,4
63,1509,1744,2115,2195,2345,2435,2204,2362,2401,1891,20000,202112,114.51256359249729,22.5475558389855,4
