,B2,B3,B4,B5,B6,B7,B8,B8A,B11,B12,QA,Date,lon,lat,label
0,985,934,651,864,1486,1595,1019,1663,727,373,60000,201609,114.51277535874831,22.54826113217375,7
1,1466,1361,1105,1242,1694,2044,1797,2022,1220,600,330000,201610,114.51277535874831,22.54826113217375,7
2,1135,956,717,825,959,1150,954,1184,856,466,170000,201611,114.51277535874831,22.54826113217375,7
3,1190,1050,852,1054,1203,1344,934,1361,1085,751,100000,201612,114.51277535874831,22.54826113217375,7
4,1105,1034,680,793,872,1072,706,878,660,442,40000,201701,114.51277535874831,22.54826113217375,7
5,1303,1159,857,1042,1127,1338,1102,1197,776,568,180000,201702,114.51277535874831,22.54826113217375,7
6,2216,1939,1729,1638,1742,1809,1569,1747,878,502,550000,201703,114.51277535874831,22.54826113217375,7
7,1184,1071,795,1038,1207,1326,767,1375,936,678,70000,201704,114.51277535874831,22.54826113217375,7
8,1182,1089,797,1025,1443,1511,903,1727,918,616,-100,201705,114.51277535874831,22.54826113217375,7
9,1180,1107,799,1012,1679,1696,1039,2079,901,554,-100,201706,114.51277535874831,22.54826113217375,7
10,1178,1125,801,999,1915,1882,1176,2431,884,492,160000,201707,114.51277535874831,22.54826113217375,7
11,1009,934,656,1025,1583,1638,837,1848,1123,662,150000,201708,114.51277535874831,22.54826113217375,7
12,1078,1017,752,832,1193,1666,1703,1638,679,348,50000,201709,114.51277535874831,22.54826113217375,7
13,1130,1050,708,806,1227,1282,1523,1531,568,296,190000,201710,114.51277535874831,22.54826113217375,7
14,1140,1058,728,830,1279,1321,1779,1335,607,311,200000,201711,114.51277535874831,22.54826113217375,7
15,1228,1064,792,922,966,1103,667,1153,766,478,70000,201712,114.51277535874831,22.54826113217375,7
16,1087,947,734,837,834,867,827,907,709,456,200000,201801,114.51277535874831,22.54826113217375,7
17,1194,1036,732,872,920,1062,621,993,749,443,50000,201802,114.51277535874831,22.54826113217375,7
18,1174,1054,772,896,999,1035,696,1094,765,543,50000,201803,114.51277535874831,22.54826113217375,7
19,1605,1384,1073,1119,1256,1338,992,1371,889,579,430000,201804,114.51277535874831,22.54826113217375,7
20,1093,995,709,901,1212,1534,862,1477,969,555,130000,201805,114.51277535874831,22.54826113217375,7
21,1061,968,670,897,1170,1293,908,1428,908,491,240000,201806,114.51277535874831,22.54826113217375,7
22,1071,1012,626,838,1628,2091,1461,1911,675,310,230000,201807,114.51277535874831,22.54826113217375,7
23,1076,1026,634,794,1362,1697,1340,1622,634,291,-100,201808,114.51277535874831,22.54826113217375,7
24,1081,1041,643,751,1096,1303,1220,1333,594,272,180000,201809,114.51277535874831,22.54826113217375,7
25,1089,1128,806,922,1251,1288,2048,1270,625,347,190000,201810,114.51277535874831,22.54826113217375,7
26,1179,1053,736,990,1145,1196,686,1208,692,423,30000,201811,114.51277535874831,22.54826113217375,7
27,905,783,508,720,726,741,398,738,579,366,30000,201812,114.51277535874831,22.54826113217375,7
28,1256,1077,869,954,1017,1070,1019,1044,830,512,200000,201901,114.51277535874831,22.54826113217375,7
29,1573,1441,1271,1302,1414,1540,1443,1598,1419,968,250000,201902,114.51277535874831,22.54826113217375,7
30,1482,1273,1005,1109,1282,1465,1342,1399,922,579,530000,201903,114.51277535874831,22.54826113217375,7
31,1388,1319,995,1346,1724,2169,1393,2246,1550,1015,430000,201904,114.51277535874831,22.54826113217375,7
32,1211,1099,801,1069,1495,1606,946,1656,949,558,180000,201905,114.51277535874831,22.54826113217375,7
33,1011,958,609,886,1611,1510,1301,1578,663,328,110000,201906,114.51277535874831,22.54826113217375,7
34,1072,1088,700,1009,1577,2033,1834,1908,891,461,130000,201907,114.51277535874831,22.54826113217375,7
35,1173,1107,747,902,1467,1751,1523,1606,748,339,260000,201908,114.51277535874831,22.54826113217375,7
36,1361,1381,1139,1281,1885,1976,1827,2162,1147,724,210000,201909,114.51277535874831,22.54826113217375,7
37,1220,1051,696,852,1206,1427,1015,1435,536,267,170000,201910,114.51277535874831,22.54826113217375,7
38,1227,1086,761,900,1103,1201,1111,1215,640,346,290000,201911,114.51277535874831,22.54826113217375,7
39,995,909,661,754,907,1026,814,906,544,305,100000,201912,114.51277535874831,22.54826113217375,7
40,1012,936,726,789,762,868,825,874,627,376,90000,202001,114.51277535874831,22.54826113217375,7
41,1262,1097,830,925,936,1015,906,1087,708,453,90000,202002,114.51277535874831,22.54826113217375,7
42,1255,1157,950,932,1035,1166,970,1161,810,516,100000,202003,114.51277535874831,22.54826113217375,7
43,1290,1157,891,926,1080,1177,859,1187,717,428,110000,202004,114.51277535874831,22.54826113217375,7
44,1331,1276,1068,1147,1334,1618,1310,1579,1330,834,220000,202005,114.51277535874831,22.54826113217375,7
45,1237,1266,1245,1151,1178,1331,1037,1214,1268,844,30000,202006,114.51277535874831,22.54826113217375,7
46,2296,2754,3363,3365,3590,3943,3348,3938,3540,1894,110000,202007,114.51277535874831,22.54826113217375,4
47,2351,2859,3464,3417,3533,4007,3416,3876,3906,2343,80000,202008,114.51277535874831,22.54826113217375,4
48,1911,2172,2517,2471,2819,3136,2787,3404,4202,2725,500000,202009,114.51277535874831,22.54826113217375,4
49,2075,2549,3116,3051,3369,3812,3423,3912,4467,2827,130000,202010,114.51277535874831,22.54826113217375,4
50,2293,2710,3296,3313,3619,3762,3619,3850,4404,3116,30000,202011,114.51277535874831,22.54826113217375,4
51,1959,2225,2662,2649,2823,3040,2965,3137,3694,2634,70000,202012,114.51277535874831,22.54826113217375,4
52,2178,2557,3038,2999,3353,3562,3500,3502,4042,3001,20000,202101,114.51277535874831,22.54826113217375,4
53,1997,2284,2751,2819,2977,3287,3069,3358,3945,2893,40000,202102,114.51277535874831,22.54826113217375,4
54,1811,1855,2100,2265,2454,2681,2543,2995,3846,2756,170000,202103,114.51277535874831,22.54826113217375,4
55,1734,1953,2301,2306,2470,2605,2385,2723,2768,2038,60000,202104,114.51277535874831,22.54826113217375,4
56,1080,867,728,667,709,769,622,718,600,386,40000,202105,114.51277535874831,22.54826113217375,4
57,1697,1821,2010,1872,2016,2275,1988,2334,2331,1592,90000,202106,114.51277535874831,22.54826113217375,4
58,1565,1598,1680,1608,1739,1958,1697,1988,1767,1190,220000,202107,114.51277535874831,22.54826113217375,4
59,1509,1577,1697,1580,1826,1949,1778,2099,1957,1261,90000,202108,114.51277535874831,22.54826113217375,4
60,1635,1690,1773,1656,2005,2328,2101,2462,2378,1591,190000,202109,114.51277535874831,22.54826113217375,4
