B2,B3,B4,B5,B6,B7,B8,B8A,B11,B12,QA,Date,lon,lat,label
1050,855,606,563,523,523,429,488,265,191,10000,201609,114.58181960149548,22.73006227882469,1
1162,984,661,606,449,443,351,359,171,103,10000,201610,114.58181960149548,22.73006227882469,1
1400,1232,950,826,702,714,569,594,259,135,20000,201611,114.58181960149548,22.73006227882469,1
1316,1133,827,694,533,522,431,450,217,151,10000,201612,114.58181960149548,22.73006227882469,1
1216,1047,680,578,427,429,345,335,162,114,0,201701,114.58181960149548,22.73006227882469,1
1475,1254,918,830,708,670,577,596,223,139,30000,201702,114.58181960149548,22.73006227882469,1
1975,1761,1555,1461,1462,1461,1223,1355,585,320,130000,201703,114.58181960149548,22.73006227882469,1
1180,1043,703,644,494,486,411,400,191,137,30000,201704,114.58181960149548,22.73006227882469,1
2151,2047,1952,1858,1731,1881,1622,1883,1916,1567,240000,201705,114.58181960149548,22.73006227882469,1
1697,1606,1352,1225,1055,1136,966,1096,1037,839,-100,201706,114.58181960149548,22.73006227882469,1
1244,1166,752,592,380,392,310,310,158,112,0,201707,114.58181960149548,22.73006227882469,1
1671,1442,1173,1088,1045,1072,882,995,461,286,240000,201708,114.58181960149548,22.73006227882469,1
1518,1559,1283,1146,1051,1148,930,1099,872,700,10000,201709,114.58181960149548,22.73006227882469,1
1470,1361,963,824,615,651,526,515,199,120,10000,201710,114.58181960149548,22.73006227882469,1
1373,1270,845,713,460,468,369,375,144,102,10000,201711,114.58181960149548,22.73006227882469,1
1525,1376,956,852,664,638,543,534,208,133,30000,201712,114.58181960149548,22.73006227882469,1
1389,1258,826,695,492,478,429,415,205,171,30000,201801,114.58181960149548,22.73006227882469,1
1836,1690,1366,1251,1175,1174,1018,1109,672,417,250000,201802,114.58181960149548,22.73006227882469,1
1355,1189,776,653,540,540,440,451,207,138,10000,201803,114.58181960149548,22.73006227882469,1
1786,1597,1249,1129,1052,1087,907,987,527,351,120000,201804,114.58181960149548,22.73006227882469,1
1272,1157,755,579,403,422,357,343,188,130,10000,201805,114.58181960149548,22.73006227882469,1
1170,973,656,572,516,522,438,456,239,167,10000,201806,114.58181960149548,22.73006227882469,1
1337,1175,769,640,517,543,426,442,185,109,10000,201807,114.58181960149548,22.73006227882469,1
2498,2637,2549,2358,2378,2580,2221,2650,2403,1836,80000,201808,114.58181960149548,22.73006227882469,1
1275,1168,767,608,475,499,387,407,187,120,0,201809,114.58181960149548,22.73006227882469,1
1086,995,539,429,314,318,263,256,132,105,30000,201810,114.58181960149548,22.73006227882469,1
1293,1121,719,590,490,487,400,406,167,111,10000,201811,114.58181960149548,22.73006227882469,1
1104,922,573,472,408,397,335,341,134,77,0,201812,114.58181960149548,22.73006227882469,1
1429,1220,856,755,654,654,549,545,221,135,50000,201901,114.58181960149548,22.73006227882469,1
