B2,B3,B4,B5,B6,B7,B8,B8A,B11,B12,QA,Date,lon,lat,label
953,984,621,1057,2410,2829,2786,3230,1890,750,20000,201609,114.4777280550598,22.8466148702188,3
1078,1035,716,1139,2412,2846,2769,3223,1994,857,-100,201610,114.4777280550598,22.8466148702188,3
1203,1087,811,1222,2414,2864,2752,3216,2098,965,150000,201611,114.4777280550598,22.8466148702188,3
1133,1012,752,1165,2122,2547,2431,2868,1969,917,120000,201612,114.4777280550598,22.8466148702188,3
1102,990,738,1113,2060,2423,2280,2757,1957,901,50000,201701,114.4777280550598,22.8466148702188,3
1329,1171,942,1293,2090,2376,2366,2718,2063,1056,200000,201702,114.4777280550598,22.8466148702188,3
1958,1722,1525,1838,2534,2871,2620,3195,2624,1428,770000,201703,114.4777280550598,22.8466148702188,3
1069,1027,760,1275,2371,2621,2574,2914,2169,1123,50000,201704,114.4777280550598,22.8466148702188,3
1728,1416,1195,1143,1332,1414,1220,1369,780,446,540000,201705,114.4777280550598,22.8466148702188,3
1477,1348,1049,1317,2264,2546,2400,2726,1790,978,-100,201706,114.4777280550598,22.8466148702188,3
1226,1280,903,1492,3197,3679,3580,4084,2801,1510,140000,201707,114.4777280550598,22.8466148702188,3
1178,1221,827,1285,2841,3362,3427,3507,1890,949,70000,201708,114.4777280550598,22.8466148702188,3
1019,1043,677,1162,2696,3222,3176,3659,2032,927,30000,201709,114.4777280550598,22.8466148702188,3
1194,1153,869,1370,2589,3109,2955,3519,2139,1043,160000,201710,114.4777280550598,22.8466148702188,3
1336,1306,1157,1670,2768,3234,3095,3583,2349,1354,320000,201711,114.4777280550598,22.8466148702188,3
1316,1154,1072,1472,2134,2437,2415,2760,2193,1301,210000,201712,114.4777280550598,22.8466148702188,3
1174,1061,1046,1405,1950,2134,2221,2503,2228,1377,120000,201801,114.4777280550598,22.8466148702188,3
1393,1247,1246,1539,2044,2322,2236,2672,2523,1506,150000,201802,114.4777280550598,22.8466148702188,3
1102,1057,981,1345,2032,2266,2273,2507,2177,1336,50000,201803,114.4777280550598,22.8466148702188,3
1140,1154,939,1394,2415,2843,2800,3166,2418,1334,-100,201804,114.4777280550598,22.8466148702188,3
1179,1252,898,1443,2798,3420,3328,3825,2659,1332,170000,201805,114.4777280550598,22.8466148702188,3
1153,1196,858,1353,2589,3170,3051,3409,2304,1130,50000,201806,114.4777280550598,22.8466148702188,3
1249,1280,856,1375,2866,3454,3256,3937,2366,1041,210000,201807,114.4777280550598,22.8466148702188,3
922,1009,595,1184,2565,3086,2928,3472,1927,769,10000,201808,114.4777280550598,22.8466148702188,3
1106,1113,796,1283,2632,3340,3199,3774,2233,980,80000,201809,114.4777280550598,22.8466148702188,3
1054,1016,814,1228,2407,2883,2877,3226,2164,1112,60000,201810,114.4777280550598,22.8466148702188,3
1235,1087,924,1307,2197,2602,2597,2955,2135,1086,150000,201811,114.4777280550598,22.8466148702188,3
987,875,743,1085,1820,2180,2144,2470,1897,956,10000,201812,114.4777280550598,22.8466148702188,3
1323,1160,1034,1341,1967,2259,2244,2534,2183,1245,210000,201901,114.4777280550598,22.8466148702188,3
1420,1250,1091,1352,1985,2270,2209,2519,2196,1247,-100,201902,114.4777280550598,22.8466148702188,3
1518,1341,1148,1363,2003,2282,2174,2504,2210,1249,460000,201903,114.4777280550598,22.8466148702188,3
1360,1254,997,1313,2272,2639,2518,2914,2291,1204,-100,201904,114.4777280550598,22.8466148702188,3
1203,1167,846,1264,2541,2997,2862,3325,2373,1160,120000,201905,114.4777280550598,22.8466148702188,3
959,969,607,1063,2631,3150,2990,3481,2019,839,20000,201906,114.4777280550598,22.8466148702188,3
1342,1324,937,1353,2905,3770,3437,4116,2437,1038,380000,201907,114.4777280550598,22.8466148702188,3
1307,1250,898,1231,2647,3366,3056,3804,2125,869,290000,201908,114.4777280550598,22.8466148702188,3
931,951,609,1098,2659,3285,3148,3638,1862,793,10000,201909,114.4777280550598,22.8466148702188,3
1199,1126,824,1228,2550,3070,2925,3492,2003,871,200000,201910,114.4777280550598,22.8466148702188,3
1291,1158,956,1365,2505,2977,2883,3356,2025,961,260000,201911,114.4777280550598,22.8466148702188,3
1027,930,838,1214,2061,2393,2404,2800,1891,922,30000,201912,114.4777280550598,22.8466148702188,3
990,919,858,1230,1942,2227,2283,2571,2003,1066,50000,202001,114.4777280550598,22.8466148702188,3
1290,1154,1052,1312,1928,2251,2179,2543,2287,1214,230000,202002,114.4777280550598,22.8466148702188,3
1149,1052,945,1168,1845,2151,2018,2413,2047,1044,50000,202003,114.4777280550598,22.8466148702188,3
1041,1025,775,1224,2193,2571,2468,2843,2073,1008,30000,202004,114.4777280550598,22.8466148702188,3
1235,1067,842,966,1459,1674,1465,1855,1098,578,380000,202005,114.4777280550598,22.8466148702188,3
1083,1111,785,1275,2733,3327,3025,3720,2179,941,20000,202006,114.4777280550598,22.8466148702188,3
1111,1128,809,1301,2749,3261,3017,3667,2096,922,30000,202007,114.4777280550598,22.8466148702188,3
1378,1308,949,1404,2788,3416,3071,3925,2406,1027,310000,202008,114.4777280550598,22.8466148702188,3
1196,1033,720,857,1505,1801,1503,1852,722,275,210000,202009,114.4777280550598,22.8466148702188,3
998,981,670,1059,2352,2837,2659,3212,1824,714,40000,202010,114.4777280550598,22.8466148702188,3
1056,977,758,1242,2495,2965,2758,3305,2009,966,70000,202011,114.4777280550598,22.8466148702188,3
1144,1030,869,1203,2172,2495,2402,2824,1800,864,80000,202012,114.4777280550598,22.8466148702188,3
1138,1000,884,1319,2090,2421,2315,2794,2052,1059,90000,202101,114.4777280550598,22.8466148702188,3
1114,988,956,1239,1813,2113,2020,2527,1969,983,50000,202102,114.4777280550598,22.8466148702188,3
1400,1235,1129,1342,1892,2172,2054,2484,2157,1145,270000,202103,114.4777280550598,22.8466148702188,3
1197,1136,958,1327,2239,2612,2415,2954,2387,1213,130000,202104,114.4777280550598,22.8466148702188,3
1044,1033,779,1173,2175,2635,2414,2980,2216,998,30000,202105,114.4777280550598,22.8466148702188,3
1056,989,684,955,1870,2268,2196,2501,1724,707,40000,202106,114.4777280550598,22.8466148702188,3
1103,1137,777,1329,2871,3393,3023,3754,2404,1047,60000,202107,114.4777280550598,22.8466148702188,3
2640,2617,2632,2582,3396,3862,3662,4199,3312,1955,710000,202108,114.4777280550598,22.8466148702188,3
920,908,572,1040,2617,3202,2829,3561,1928,734,10000,202109,114.4777280550598,22.8466148702188,3
956,944,646,1068,2442,2958,2770,3400,1913,772,20000,202110,114.4777280550598,22.8466148702188,3
926,855,605,1022,2343,2798,2642,3154,1750,755,10000,202111,114.4777280550598,22.8466148702188,3
999,868,720,1113,2178,2539,2505,2907,1797,819,40000,202112,114.4777280550598,22.8466148702188,3
