B2,B3,B4,B5,B6,B7,B8,B8A,B11,B12,QA,Date,lon,lat,label
1601,1792,2115,2057,2319,2489,2249,2525,3137,1829,350000,201609,114.5771638211733,22.76718276548,4
1785,1978,2334,2610,2934,3217,2540,3240,4029,2372,450000,201610,114.5771638211733,22.76718276548,4
1852,2108,2465,2737,3017,3192,2720,3167,3996,2429,170000,201611,114.5771638211733,22.76718276548,4
1671,1811,2118,2362,2670,2853,2329,2812,3663,2261,250000,201612,114.5771638211733,22.76718276548,4
1873,2164,2505,2648,2923,3119,2698,3095,3915,2317,230000,201701,114.5771638211733,22.76718276548,4
1689,1744,1985,2318,2703,2826,2443,2843,3736,2366,150000,201702,114.5771638211733,22.76718276548,4
1645,1760,2041,2393,2723,2859,2413,2773,3672,2358,-100,201703,114.5771638211733,22.76718276548,4
1601,1776,2098,2469,2743,2892,2384,2703,3608,2351,40000,201704,114.5771638211733,22.76718276548,4
1689,1914,2268,2594,2894,3148,2469,2967,3775,2334,-100,201705,114.5771638211733,22.76718276548,4
1777,2053,2438,2719,3045,3405,2554,3231,3942,2317,-100,201706,114.5771638211733,22.76718276548,4
1865,2192,2609,2844,3196,3662,2639,3495,4109,2300,640000,201707,114.5771638211733,22.76718276548,4
1390,1401,1386,1794,2152,2205,1600,2223,2291,1176,300000,201708,114.5771638211733,22.76718276548,4
1522,1768,2105,2197,2567,2780,2386,2857,3424,2036,140000,201709,114.5771638211733,22.76718276548,4
1828,1999,2405,2601,3070,3276,2817,3239,4110,2601,270000,201710,114.5771638211733,22.76718276548,4
2072,2358,2837,3031,3191,3347,3116,3348,4349,2698,230000,201711,114.5771638211733,22.76718276548,4
1951,2100,2444,2839,3232,3323,2864,3288,4251,2870,120000,201712,114.5771638211733,22.76718276548,4
1874,2056,2454,2898,3070,3215,2763,3209,3895,2614,130000,201801,114.5771638211733,22.76718276548,4
1944,2022,2171,2480,2892,3091,2715,3249,4025,2626,210000,201802,114.5771638211733,22.76718276548,4
1562,1674,2082,2278,2576,2622,2471,2634,3311,2172,80000,201803,114.5771638211733,22.76718276548,4
1886,1908,2134,2307,2716,3110,2745,3236,3937,2637,380000,201804,114.5771638211733,22.76718276548,4
1186,966,823,878,995,1096,903,1029,898,566,120000,201805,114.5771638211733,22.76718276548,4
1652,1809,2140,2460,2686,2996,2400,2997,3706,2242,250000,201806,114.5771638211733,22.76718276548,4
1794,1930,2240,2378,2881,3309,2747,3333,4190,2547,280000,201807,114.5771638211733,22.76718276548,4
1446,1650,2020,2157,2449,2651,2106,2635,3281,1780,210000,201808,114.5771638211733,22.76718276548,4
1104,924,772,777,882,985,780,919,646,310,110000,201809,114.5771638211733,22.76718276548,4
1874,2164,2579,2670,2887,2965,3036,2893,3872,2605,300000,201810,114.5771638211733,22.76718276548,4
1707,1902,2125,2457,2776,3019,2485,2944,3958,2433,220000,201811,114.5771638211733,22.76718276548,4
1429,1534,1864,2039,2278,2413,1976,2404,3099,1789,80000,201812,114.5771638211733,22.76718276548,4
1686,1744,2013,2339,2625,2656,2264,2643,3716,2352,210000,201901,114.5771638211733,22.76718276548,4
1656,1652,1817,2091,2437,2526,2178,2562,3469,2188,-100,201902,114.5771638211733,22.76718276548,4
1627,1560,1621,1843,2250,2396,2092,2481,3222,2025,310000,201903,114.5771638211733,22.76718276548,4
1668,1673,1839,1911,2386,2659,2263,2730,3426,2017,380000,201904,114.5771638211733,22.76718276548,4
1540,1626,1842,2127,2515,2793,2210,2859,3650,2200,130000,201905,114.5771638211733,22.76718276548,4
1208,1193,1178,1234,1428,1553,1393,1431,1539,700,260000,201906,114.5771638211733,22.76718276548,4
1669,1736,1874,2038,2575,2995,2483,3113,3385,2058,370000,201907,114.5771638211733,22.76718276548,4
