B2,B3,B4,B5,B6,B7,B8,B8A,B11,B12,QA,Date,lon,lat,label
759,616,353,541,1589,1999,2023,2323,888,304,10000,201609,114.44490948848744,22.67620529779548,2
1072,869,559,770,1867,2333,2283,2561,1088,453,300000,201610,114.44490948848744,22.67620529779548,2
886,589,362,348,575,670,584,651,176,70,60000,201611,114.44490948848744,22.67620529779548,2
905,602,347,403,794,961,891,964,358,129,120000,201612,114.44490948848744,22.67620529779548,2
846,551,309,328,579,714,735,788,262,107,80000,201701,114.44490948848744,22.67620529779548,2
1081,817,521,633,1260,1520,1458,1540,576,233,270000,201702,114.44490948848744,22.67620529779548,2
998,816,487,758,1734,2091,2041,2143,852,341,-100,201703,114.44490948848744,22.67620529779548,2
915,816,454,884,2208,2662,2624,2747,1128,450,70000,201704,114.44490948848744,22.67620529779548,2
938,819,475,854,2265,2861,2705,3023,1217,465,-100,201705,114.44490948848744,22.67620529779548,2
961,822,496,824,2322,3061,2787,3299,1306,481,-100,201706,114.44490948848744,22.67620529779548,2
985,826,517,794,2380,3261,2869,3575,1396,497,50000,201707,114.44490948848744,22.67620529779548,2
911,814,506,839,2353,3086,3103,3487,1328,504,20000,201708,114.44490948848744,22.67620529779548,2
808,651,385,566,1584,2115,2112,2367,858,284,20000,201709,114.44490948848744,22.67620529779548,2
990,769,469,602,1417,1830,1928,1860,674,257,260000,201710,114.44490948848744,22.67620529779548,2
864,651,374,485,1165,1444,1607,1580,516,208,190000,201711,114.44490948848744,22.67620529779548,2
961,657,402,440,840,934,931,1016,276,115,130000,201712,114.44490948848744,22.67620529779548,2
902,635,402,448,887,987,1113,1081,368,191,290000,201801,114.44490948848744,22.67620529779548,2
1018,767,490,615,1262,1545,1547,1668,656,260,230000,201802,114.44490948848744,22.67620529779548,2
849,733,459,733,1611,1952,2081,2106,782,336,50000,201803,114.44490948848744,22.67620529779548,2
1472,1256,937,1213,2210,2753,2516,2953,1345,625,370000,201804,114.44490948848744,22.67620529779548,2
806,703,386,706,2247,2985,2834,3242,1320,433,10000,201805,114.44490948848744,22.67620529779548,2
926,858,492,912,2635,3407,3323,3812,1673,611,40000,201806,114.44490948848744,22.67620529779548,2
927,819,497,864,2398,3284,2975,3607,1653,565,80000,201807,114.44490948848744,22.67620529779548,2
717,492,282,322,674,818,724,864,223,91,70000,201808,114.44490948848744,22.67620529779548,2
908,708,439,607,1584,2157,2130,2435,932,348,130000,201809,114.44490948848744,22.67620529779548,2
798,570,337,450,1041,1302,1533,1366,550,233,60000,201810,114.44490948848744,22.67620529779548,2
908,646,388,467,1029,1236,1215,1288,416,149,160000,201811,114.44490948848744,22.67620529779548,2
733,455,248,263,555,597,536,695,206,81,40000,201812,114.44490948848744,22.67620529779548,2
1000,700,443,501,873,1039,1058,1092,395,156,200000,201901,114.44490948848744,22.67620529779548,2
1154,896,607,743,1325,1568,1535,1684,674,271,-100,201902,114.44490948848744,22.67620529779548,2
1308,1092,771,985,1777,2098,2012,2277,954,386,480000,201903,114.44490948848744,22.67620529779548,2
1146,979,653,953,2192,2661,2493,2931,1292,500,-100,201904,114.44490948848744,22.67620529779548,2
