B2,B3,B4,B5,B6,B7,B8,B8A,B11,B12,QA,Date,lon,lat,label
1314,1164,1041,988,1016,1099,887,1141,949,738,40000,201609,114.54067339897912,22.6623945932072,1
919,636,369,312,273,274,208,217,81,51,0,201610,114.54067339897912,22.6623945932072,1
1075,813,476,397,337,325,268,271,85,51,0,201611,114.54067339897912,22.6623945932072,1
1004,694,374,309,289,273,221,225,62,35,0,201612,114.54067339897912,22.6623945932072,1
1009,733,366,292,254,234,183,182,49,31,0,201701,114.54067339897912,22.6623945932072,1
1262,976,604,541,499,483,407,400,110,56,10000,201702,114.54067339897912,22.6623945932072,1
1707,1411,1117,1026,1062,1070,926,1007,368,212,180000,201703,114.54067339897912,22.6623945932072,1
1014,759,422,368,341,313,262,260,87,51,0,201704,114.54067339897912,22.6623945932072,1
1998,1713,1529,1346,1392,1454,1540,1432,1527,973,490000,201705,114.54067339897912,22.6623945932072,1
1542,1214,887,782,766,783,724,718,438,311,40000,201706,114.54067339897912,22.6623945932072,1
1731,1052,645,526,483,512,849,456,366,257,190000,201707,114.54067339897912,22.6623945932072,1
1082,830,508,427,382,362,287,299,82,59,0,201708,114.54067339897912,22.6623945932072,1
1267,1066,920,903,950,995,804,1031,804,654,150000,201709,114.54067339897912,22.6623945932072,1
1107,856,506,433,391,393,310,324,101,61,0,201710,114.54067339897912,22.6623945932072,1
1068,858,474,407,313,303,238,244,69,38,0,201711,114.54067339897912,22.6623945932072,1
1285,1008,625,567,451,446,370,350,104,62,10000,201712,114.54067339897912,22.6623945932072,1
1176,929,494,426,359,333,286,278,110,85,10000,201801,114.54067339897912,22.6623945932072,1
1274,940,553,485,457,445,369,388,143,77,10000,201802,114.54067339897912,22.6623945932072,1
1037,801,485,424,415,400,334,348,112,70,10000,201803,114.54067339897912,22.6623945932072,1
1530,1251,857,750,729,752,630,671,285,160,90000,201804,114.54067339897912,22.6623945932072,1
1061,796,444,364,341,348,280,288,158,133,10000,201805,114.54067339897912,22.6623945932072,1
1019,806,490,411,371,371,308,318,115,77,0,201806,114.54067339897912,22.6623945932072,1
1036,777,454,387,362,368,291,314,90,43,0,201807,114.54067339897912,22.6623945932072,1
1865,1810,1764,1647,1714,1850,1612,1885,1738,1318,60000,201808,114.54067339897912,22.6623945932072,1
916,742,374,312,239,230,183,172,46,30,0,201809,114.54067339897912,22.6623945932072,1
1102,929,456,373,256,242,202,182,59,45,0,201810,114.54067339897912,22.6623945932072,1
1117,893,505,437,350,325,275,264,69,38,0,201811,114.54067339897912,22.6623945932072,1
1030,792,388,330,259,238,197,179,45,28,0,201812,114.54067339897912,22.6623945932072,1
1242,1000,619,544,459,444,354,378,106,59,10000,201901,114.54067339897912,22.6623945932072,1
1308,1122,885,1058,1096,1167,604,1270,1101,993,100000,201902,114.54067339897912,22.6623945932072,1
1468,1160,819,747,769,757,653,679,223,110,80000,201903,114.54067339897912,22.6623945932072,1
1800,1724,1655,1555,1611,1748,1499,1860,1732,1353,50000,201904,114.54067339897912,22.6623945932072,1
1184,969,675,614,622,622,534,585,347,254,10000,201905,114.54067339897912,22.6623945932072,1
2069,1979,1957,1854,1855,1966,1847,1984,1837,1374,190000,201906,114.54067339897912,22.6623945932072,1
1051,821,490,403,369,377,303,306,125,91,0,201907,114.54067339897912,22.6623945932072,1
1191,919,729,648,651,769,477,684,446,325,10000,201908,114.54067339897912,22.6623945932072,1
1227,1086,891,864,876,884,728,873,684,561,20000,201909,114.54067339897912,22.6623945932072,1
1122,835,509,446,409,402,328,344,97,46,0,201910,114.54067339897912,22.6623945932072,1
1199,914,549,461,427,417,343,357,105,62,0,201911,114.54067339897912,22.6623945932072,1
985,794,416,337,263,242,195,185,37,20,0,201912,114.54067339897912,22.6623945932072,1
956,709,380,341,285,272,231,221,70,47,0,202001,114.54067339897912,22.6623945932072,1
1165,913,545,466,434,419,354,349,89,46,10000,202002,114.54067339897912,22.6623945932072,1
1288,1119,796,718,674,683,578,641,398,306,10000,202003,114.54067339897912,22.6623945932072,1
1156,890,529,475,453,441,387,403,197,142,20000,202004,114.54067339897912,22.6623945932072,1
2021,1903,1855,1787,1920,2106,1843,2252,2071,1598,200000,202005,114.54067339897912,22.6623945932072,1
1019,813,499,410,373,388,305,344,214,166,0,202006,114.54067339897912,22.6623945932072,1
897,635,325,290,266,272,218,220,104,76,0,202007,114.54067339897912,22.6623945932072,1
981,738,460,403,380,378,350,348,212,155,0,202008,114.54067339897912,22.6623945932072,1
1380,1079,765,661,677,685,556,605,193,94,60000,202009,114.54067339897912,22.6623945932072,1
941,714,432,358,325,320,247,268,105,69,0,202010,114.54067339897912,22.6623945932072,1
947,716,365,303,251,225,181,173,41,30,0,202011,114.54067339897912,22.6623945932072,1
1146,939,553,476,398,383,318,301,102,60,10000,202012,114.54067339897912,22.6623945932072,1
1125,866,470,402,320,303,245,239,65,50,0,202101,114.54067339897912,22.6623945932072,1
1043,793,443,368,334,308,262,263,73,37,0,202102,114.54067339897912,22.6623945932072,1
1361,1092,718,627,634,628,527,540,158,82,30000,202103,114.54067339897912,22.6623945932072,1
1271,1082,634,526,426,424,353,363,128,82,10000,202104,114.54067339897912,22.6623945932072,1
997,814,478,400,328,337,290,287,144,102,0,202105,114.54067339897912,22.6623945932072,1
2188,2084,1973,1721,1761,1928,1776,1920,1739,1255,180000,202106,114.54067339897912,22.6623945932072,1
878,622,371,307,293,303,242,262,123,84,0,202107,114.54067339897912,22.6623945932072,1
1046,929,614,506,525,653,327,680,390,354,10000,202108,114.54067339897912,22.6623945932072,1
1188,903,570,483,473,471,380,400,158,99,0,202109,114.54067339897912,22.6623945932072,1
941,746,457,402,393,417,331,376,240,184,0,202110,114.54067339897912,22.6623945932072,1
983,816,457,353,266,262,208,191,74,54,0,202111,114.54067339897912,22.6623945932072,1
1019,853,441,362,281,272,223,217,60,38,0,202112,114.54067339897912,22.6623945932072,1
