B2,B3,B4,B5,B6,B7,B8,B8A,B11,B12,QA,Date,lon,lat,label
1185,937,776,683,670,717,646,686,552,412,10000,201609,114.35177050048074,22.56499816299067,1
1316,995,512,395,334,325,271,271,107,70,0,201610,114.35177050048074,22.56499816299067,1
1171,889,471,365,311,293,246,234,95,64,10000,201611,114.35177050048074,22.56499816299067,1
1002,678,396,337,280,265,217,212,59,36,0,201612,114.35177050048074,22.56499816299067,1
1068,801,413,324,275,250,257,223,67,50,10000,201701,114.35177050048074,22.56499816299067,1
1480,1130,663,563,503,466,394,399,129,71,20000,201702,114.35177050048074,22.56499816299067,1
1268,947,553,477,430,394,334,336,115,65,-100,201703,114.35177050048074,22.56499816299067,1
1056,764,444,391,357,322,275,274,101,59,10000,201704,114.35177050048074,22.56499816299067,1
1679,1380,1212,1133,1151,1196,1004,1191,1006,777,120000,201705,114.35177050048074,22.56499816299067,1
1350,1029,801,731,725,743,624,725,565,431,-100,201706,114.35177050048074,22.56499816299067,1
1021,679,391,329,300,290,245,260,124,85,0,201707,114.35177050048074,22.56499816299067,1
1068,736,431,347,327,305,244,256,87,51,0,201708,114.35177050048074,22.56499816299067,1
1188,953,763,645,635,646,597,610,465,346,10000,201709,114.35177050048074,22.56499816299067,1
1329,997,535,433,369,366,297,292,95,54,20000,201710,114.35177050048074,22.56499816299067,1
1267,1012,560,459,390,385,320,309,141,99,10000,201711,114.35177050048074,22.56499816299067,1
1456,1191,667,556,448,437,353,354,117,67,30000,201712,114.35177050048074,22.56499816299067,1
1374,1101,565,470,357,342,293,274,114,86,10000,201801,114.35177050048074,22.56499816299067,1
1135,785,489,417,391,370,305,293,112,63,10000,201802,114.35177050048074,22.56499816299067,1
1016,707,449,385,360,346,291,285,92,50,0,201803,114.35177050048074,22.56499816299067,1
1428,1077,783,691,656,659,553,562,237,130,100000,201804,114.35177050048074,22.56499816299067,1
915,553,298,240,221,207,161,154,57,34,0,201805,114.35177050048074,22.56499816299067,1
1096,792,474,403,381,385,316,324,180,127,0,201806,114.35177050048074,22.56499816299067,1
995,680,391,315,279,282,221,217,70,36,0,201807,114.35177050048074,22.56499816299067,1
1961,1802,1757,1553,1623,1732,1688,1822,1729,1306,70000,201808,114.35177050048074,22.56499816299067,1
998,779,381,300,237,224,174,170,50,25,0,201809,114.35177050048074,22.56499816299067,1
1001,769,385,328,262,242,195,187,76,50,0,201810,114.35177050048074,22.56499816299067,1
1269,974,505,409,339,308,258,262,85,43,10000,201811,114.35177050048074,22.56499816299067,1
1128,809,363,270,231,206,166,151,33,15,0,201812,114.35177050048074,22.56499816299067,1
1331,1014,568,496,427,406,340,337,122,77,20000,201901,114.35177050048074,22.56499816299067,1
1058,725,463,383,351,340,320,281,133,88,0,201902,114.35177050048074,22.56499816299067,1
1462,1123,790,703,675,638,544,570,203,109,60000,201903,114.35177050048074,22.56499816299067,1
2415,1973,1686,1509,1610,1704,1809,1695,1588,1384,560000,201904,114.35177050048074,22.56499816299067,1
1079,799,536,473,443,429,359,382,182,133,10000,201905,114.35177050048074,22.56499816299067,1
2046,2012,2001,1913,1993,2108,1897,2181,2041,1559,250000,201906,114.35177050048074,22.56499816299067,1
1123,834,511,429,396,396,320,337,145,90,0,201907,114.35177050048074,22.56499816299067,1
1444,1199,1078,1000,1005,1118,908,1108,1054,779,40000,201908,114.35177050048074,22.56499816299067,1
1159,897,726,658,634,638,588,611,453,373,10000,201909,114.35177050048074,22.56499816299067,1
1139,816,475,402,382,357,285,304,94,63,10000,201910,114.35177050048074,22.56499816299067,1
1303,1010,594,512,439,422,359,344,147,94,20000,201911,114.35177050048074,22.56499816299067,1
997,761,339,266,214,202,151,151,28,5,0,201912,114.35177050048074,22.56499816299067,1
1000,747,492,414,398,362,340,316,188,142,20000,202001,114.35177050048074,22.56499816299067,1
1176,861,523,438,406,381,309,309,91,54,10000,202002,114.35177050048074,22.56499816299067,1
1409,1136,808,714,697,680,590,593,271,181,120000,202003,114.35177050048074,22.56499816299067,1
1029,722,448,405,386,371,293,320,140,94,10000,202004,114.35177050048074,22.56499816299067,1
3245,3322,3643,3302,3477,3784,3686,3992,3953,2945,190000,202005,114.35177050048074,22.56499816299067,1
891,626,343,261,223,221,195,166,90,61,0,202006,114.35177050048074,22.56499816299067,1
951,644,382,325,308,293,236,254,127,75,0,202007,114.35177050048074,22.56499816299067,1
866,579,282,235,210,214,152,161,56,43,0,202008,114.35177050048074,22.56499816299067,1
1334,1029,819,663,622,663,597,585,460,317,20000,202009,114.35177050048074,22.56499816299067,1
1182,934,582,475,443,451,434,385,242,181,10000,202010,114.35177050048074,22.56499816299067,1
1081,832,381,318,252,225,177,167,53,37,0,202011,114.35177050048074,22.56499816299067,1
1266,1019,594,495,410,402,350,332,168,118,10000,202012,114.35177050048074,22.56499816299067,1
1152,884,450,377,285,276,229,208,55,43,0,202101,114.35177050048074,22.56499816299067,1
1015,697,420,353,320,296,252,243,76,39,0,202102,114.35177050048074,22.56499816299067,1
1295,939,671,589,572,561,472,491,183,104,10000,202103,114.35177050048074,22.56499816299067,1
1066,748,436,380,363,337,287,290,91,53,0,202104,114.35177050048074,22.56499816299067,1
1095,767,517,440,420,427,353,386,262,191,0,202105,114.35177050048074,22.56499816299067,1
