B2,B3,B4,B5,B6,B7,B8,B8A,B11,B12,QA,Date,lon,lat,label
917,800,520,772,1835,2318,2132,2527,1288,552,30000,201609,114.45595768960604,22.75453306480332,2
1019,908,562,947,2367,2929,3016,3303,1596,640,150000,201610,114.45595768960604,22.75453306480332,2
1208,1041,777,987,2022,2423,2446,2726,1331,557,120000,201611,114.45595768960604,22.75453306480332,2
1072,956,588,951,2342,2848,2898,3333,1487,619,230000,201612,114.45595768960604,22.75453306480332,2
1031,875,560,882,2127,2649,2819,2895,1405,541,180000,201701,114.45595768960604,22.75453306480332,2
1329,1158,864,1194,2212,2602,2790,2940,1560,724,290000,201702,114.45595768960604,22.75453306480332,2
1222,1094,807,1194,2183,2537,2766,2860,1682,822,-100,201703,114.45595768960604,22.75453306480332,2
1116,1030,751,1194,2155,2472,2742,2781,1804,921,70000,201704,114.45595768960604,22.75453306480332,2
1860,1787,1807,1869,2470,2856,2260,3008,2233,1629,700000,201705,114.45595768960604,22.75453306480332,2
2256,2058,2002,1999,2419,2720,2395,2811,1832,1347,-100,201706,114.45595768960604,22.75453306480332,2
2653,2329,2198,2130,2368,2585,2530,2614,1431,1066,770000,201707,114.45595768960604,22.75453306480332,2
1000,945,610,952,2157,2828,2747,2943,1497,677,30000,201708,114.45595768960604,22.75453306480332,2
992,885,587,835,1971,2423,2621,2843,1365,538,50000,201709,114.45595768960604,22.75453306480332,2
1129,998,677,1025,2381,3110,3052,3516,1578,625,240000,201710,114.45595768960604,22.75453306480332,2
1054,944,628,1014,2481,3089,3204,3529,1582,597,170000,201711,114.45595768960604,22.75453306480332,2
1246,1058,767,1063,2144,2490,2844,2781,1416,631,280000,201712,114.45595768960604,22.75453306480332,2
1063,934,641,1046,2367,2682,3093,3121,1477,690,220000,201801,114.45595768960604,22.75453306480332,2
1354,1162,862,1191,2115,2635,2726,2854,1612,712,220000,201802,114.45595768960604,22.75453306480332,2
1016,926,680,1001,1812,2129,2275,2229,1416,743,90000,201803,114.45595768960604,22.75453306480332,2
1753,1587,1382,1572,2219,2586,2548,2890,1936,978,640000,201804,114.45595768960604,22.75453306480332,2
1111,1090,686,1203,2737,3368,3497,3665,2071,857,100000,201805,114.45595768960604,22.75453306480332,2
1105,1060,712,1161,2513,3058,3255,3397,1926,854,70000,201806,114.45595768960604,22.75453306480332,2
1072,983,659,951,2124,2754,2728,2928,1531,680,100000,201807,114.45595768960604,22.75453306480332,2
1051,949,812,873,1491,1778,1491,1937,1017,671,470000,201808,114.45595768960604,22.75453306480332,2
1009,903,616,942,2112,2754,2757,3216,1887,792,60000,201809,114.45595768960604,22.75453306480332,2
947,887,568,1016,2401,2950,3027,3318,1628,703,100000,201810,114.45595768960604,22.75453306480332,2
1167,995,709,1034,2108,2634,2802,2922,1518,664,180000,201811,114.45595768960604,22.75453306480332,2
886,707,465,666,1422,1842,1879,1965,1094,459,30000,201812,114.45595768960604,22.75453306480332,2
1268,1083,791,1107,2202,2528,2718,2884,1580,698,330000,201901,114.45595768960604,22.75453306480332,2
1144,977,699,972,1749,2016,2191,2246,1423,659,130000,201902,114.45595768960604,22.75453306480332,2
1548,1340,1104,1311,2057,2303,2288,2549,1756,849,470000,201903,114.45595768960604,22.75453306480332,2
1303,1059,753,796,1198,1364,1247,1341,538,231,570000,201904,114.45595768960604,22.75453306480332,2
1164,1076,771,1157,2359,2758,2824,3143,1950,898,110000,201905,114.45595768960604,22.75453306480332,2
930,829,548,822,1917,2379,2456,2556,1439,599,20000,201906,114.45595768960604,22.75453306480332,2
1172,1106,724,1172,2798,3579,3482,4032,2077,830,180000,201907,114.45595768960604,22.75453306480332,2
1020,934,593,974,2359,2968,2948,3265,1649,672,-100,201908,114.45595768960604,22.75453306480332,2
868,762,463,776,1921,2358,2414,2499,1222,514,10000,201909,114.45595768960604,22.75453306480332,2
1134,994,679,944,2204,2785,2800,3038,1477,581,260000,201910,114.45595768960604,22.75453306480332,2
1285,1102,826,1111,2242,2684,2761,2928,1502,640,290000,201911,114.45595768960604,22.75453306480332,2
944,785,544,796,1679,1980,2152,2209,1123,486,60000,201912,114.45595768960604,22.75453306480332,2
906,762,524,806,1713,1878,2314,2108,1175,549,60000,202001,114.45595768960604,22.75453306480332,2
1282,1076,845,1135,1925,2259,2478,2572,1593,721,170000,202002,114.45595768960604,22.75453306480332,2
1125,960,731,931,1554,1763,1913,1971,1326,619,120000,202003,114.45595768960604,22.75453306480332,2
959,867,621,906,1802,2000,2196,2277,1472,724,30000,202004,114.45595768960604,22.75453306480332,2
1131,954,725,819,1336,1566,1506,1666,1027,532,280000,202005,114.45595768960604,22.75453306480332,2
981,892,622,919,1959,2435,2531,2685,1559,741,20000,202006,114.45595768960604,22.75453306480332,2
998,911,596,873,2016,2658,2712,2905,1565,633,40000,202007,114.45595768960604,22.75453306480332,2
1042,1019,653,1074,2629,3232,3368,3644,1958,840,50000,202008,114.45595768960604,22.75453306480332,2
1417,1237,922,1176,2476,3075,2935,3353,1853,745,410000,202009,114.45595768960604,22.75453306480332,2
918,777,492,709,1663,2076,2154,2333,1168,468,20000,202010,114.45595768960604,22.75453306480332,2
971,859,557,900,2260,2741,2891,2970,1444,640,170000,202011,114.45595768960604,22.75453306480332,2
1074,876,636,867,1701,2007,2136,2176,1100,497,70000,202012,114.45595768960604,22.75453306480332,2
1112,943,638,974,2002,2488,2688,2585,1351,656,120000,202101,114.45595768960604,22.75453306480332,2
1053,903,712,901,1523,1661,1923,1860,1193,569,140000,202102,114.45595768960604,22.75453306480332,2
1396,1201,983,1181,1918,2232,2280,2485,1557,732,260000,202103,114.45595768960604,22.75453306480332,2
