B2,B3,B4,B5,B6,B7,B8,B8A,B11,B12,QA,Date,lon,lat,label
1491,1722,2345,2425,2685,2975,2617,3073,4131,2776,50000,201609,114.25991865850948,22.623655534042108,4
1601,1787,2446,2491,2903,3086,2746,3146,4251,2864,50000,201610,114.25991865850948,22.623655534042108,4
1650,1802,2387,2497,2898,3028,2728,3192,4299,3119,30000,201611,114.25991865850948,22.623655534042108,4
1688,1888,2496,2615,2954,3123,2828,3153,4266,3066,30000,201612,114.25991865850948,22.623655534042108,4
1727,1966,2695,2778,3050,3268,2872,3307,4368,3122,30000,201701,114.25991865850948,22.623655534042108,4
1632,1742,2173,2386,2722,2918,2755,2967,4129,3168,70000,201702,114.25991865850948,22.623655534042108,4
1552,1655,2087,2290,2606,2787,2626,2850,3864,2908,-100,201703,114.25991865850948,22.623655534042108,4
1472,1569,2001,2195,2491,2656,2497,2733,3599,2649,40000,201704,114.25991865850948,22.623655534042108,4
1239,1139,1197,1254,1661,1899,1553,1813,1651,893,260000,201705,114.25991865850948,22.623655534042108,4
1395,1456,1810,1925,2339,2586,2116,2551,2882,1797,-100,201706,114.25991865850948,22.623655534042108,4
1552,1773,2424,2597,3017,3274,2680,3289,4114,2701,70000,201707,114.25991865850948,22.623655534042108,4
1636,1802,2343,2432,2979,3340,2904,3451,4327,3010,50000,201708,114.25991865850948,22.623655534042108,4
1454,1590,2107,2200,2519,2834,2499,2934,3849,2780,20000,201709,114.25991865850948,22.623655534042108,4
1077,927,845,775,655,734,613,680,395,201,50000,201710,114.25991865850948,22.623655534042108,1
995,906,869,785,494,560,474,433,256,158,10000,201711,114.25991865850948,22.623655534042108,1
1292,1280,1679,1850,1928,2064,1817,1981,2344,1648,90000,201712,114.25991865850948,22.623655534042108,1
1342,1392,1809,2023,2206,2296,2193,2305,2884,2152,90000,201801,114.25991865850948,22.623655534042108,1
1076,864,465,428,465,467,403,426,165,85,30000,201802,114.25991865850948,22.623655534042108,1
1191,1188,799,740,772,801,760,761,469,349,70000,201803,114.25991865850948,22.623655534042108,1
1671,1476,1038,997,1186,1302,1128,1199,463,257,440000,201804,114.25991865850948,22.623655534042108,1
2466,2431,2495,2553,3227,3630,3172,3790,3011,1954,710000,201805,114.25991865850948,22.623655534042108,1
1351,1513,896,698,605,670,565,595,269,167,10000,201806,114.25991865850948,22.623655534042108,1
1077,858,496,422,480,531,410,468,202,105,30000,201807,114.25991865850948,22.623655534042108,1
