B2,B3,B4,B5,B6,B7,B8,B8A,B11,B12,QA,Date,lon,lat,label
1895,1481,1302,1350,2063,2353,2424,2513,2371,1778,610000,201609,114.49513717582502,22.800584303916565,6
1865,1500,1349,1307,2317,2682,2311,3017,2242,1311,270000,201610,114.49513717582502,22.800584303916565,6
1600,1348,1182,1414,2058,2374,2526,2661,2302,1569,230000,201611,114.49513717582502,22.800584303916565,6
1820,1426,1320,1264,2222,2454,2407,2697,1892,1103,470000,201612,114.49513717582502,22.800584303916565,6
1653,1322,1249,1421,2244,2509,2338,2705,2265,1428,290000,201701,114.49513717582502,22.800584303916565,6
1738,1464,1286,1358,2118,2523,2620,2713,2021,1302,780000,201702,114.49513717582502,22.800584303916565,6
2411,2073,1905,2005,2659,3060,2839,3343,2853,1928,680000,201703,114.49513717582502,22.800584303916565,6
1685,1481,1351,1506,2476,2945,3022,3237,2381,1688,480000,201704,114.49513717582502,22.800584303916565,6
1901,1693,1339,1439,2058,2438,2386,2595,1698,974,720000,201705,114.49513717582502,22.800584303916565,6
1894,1704,1408,1462,2273,2718,2585,2996,2099,1237,-100,201706,114.49513717582502,22.800584303916565,6
1888,1715,1477,1485,2489,2999,2785,3397,2501,1501,380000,201707,114.49513717582502,22.800584303916565,6
2022,1850,1765,1853,2898,3500,3321,3846,2630,1661,530000,201708,114.49513717582502,22.800584303916565,6
1356,1261,1143,1258,1724,2154,2060,2323,2436,1759,40000,201709,114.49513717582502,22.800584303916565,6
1561,1485,1474,1707,2147,2465,2356,2794,2723,1917,170000,201710,114.49513717582502,22.800584303916565,6
1496,1351,1328,1542,1994,2347,2515,2604,2467,1768,160000,201711,114.49513717582502,22.800584303916565,6
1850,1557,1456,1491,2462,2819,2498,3016,2137,1374,720000,201712,114.49513717582502,22.800584303916565,6
1732,1510,1439,1470,1787,2050,2443,2254,2116,1507,780000,201801,114.49513717582502,22.800584303916565,6
1821,1654,1461,1471,2015,2285,2356,2475,2185,1487,440000,201802,114.49513717582502,22.800584303916565,6
1513,1427,1379,1555,1973,2242,2323,2400,2479,2111,60000,201803,114.49513717582502,22.800584303916565,6
1875,1718,1653,1767,2363,2764,2616,3063,2819,2039,660000,201804,114.49513717582502,22.800584303916565,6
1632,1703,1593,1880,2590,3061,2999,3424,3152,2226,80000,201805,114.49513717582502,22.800584303916565,6
1757,1675,1449,1453,1959,2264,2358,2448,2192,1526,240000,201806,114.49513717582502,22.800584303916565,6
1681,1676,1458,1651,2342,2731,2641,2983,2676,1847,90000,201807,114.49513717582502,22.800584303916565,6
1613,1364,1344,1249,1762,2082,1922,2310,1899,1242,110000,201808,114.49513717582502,22.800584303916565,6
1485,1492,1506,1550,1821,2131,2100,2250,2284,1441,190000,201809,114.49513717582502,22.800584303916565,6
1414,1368,1424,1733,2187,2531,2562,2894,3202,2352,70000,201810,114.49513717582502,22.800584303916565,6
1739,1389,1214,1370,2479,2774,2547,3054,2104,1166,580000,201811,114.49513717582502,22.800584303916565,6
1547,1198,918,985,1374,1596,1805,1804,1663,1263,330000,201812,114.49513717582502,22.800584303916565,6
1504,1209,1096,1311,1852,2129,1892,2327,1960,1563,-100,201901,114.49513717582502,22.800584303916565,6
1461,1221,1275,1637,2330,2663,1979,2851,2257,1864,610000,201902,114.49513717582502,22.800584303916565,6
1656,1398,1213,1349,2239,2533,2513,2864,1993,1229,670000,201903,114.49513717582502,22.800584303916565,6
1477,1325,1039,1351,2442,2905,2837,3222,2308,1562,230000,201904,114.49513717582502,22.800584303916565,6
1661,1435,1303,1515,2308,2675,2498,2948,2544,1631,220000,201905,114.49513717582502,22.800584303916565,6
1535,1230,941,1243,2229,2693,2730,2944,1951,1160,480000,201906,114.49513717582502,22.800584303916565,6
1734,1438,1300,1431,2116,2515,2557,2740,2558,1642,470000,201907,114.49513717582502,22.800584303916565,6
1610,1382,1195,1386,2210,2578,2606,2889,2462,1741,-100,201908,114.49513717582502,22.800584303916565,6
1487,1327,1090,1342,2304,2642,2656,3038,2367,1840,70000,201909,114.49513717582502,22.800584303916565,6
1748,1513,1320,1586,2225,2624,2564,2889,2913,2037,370000,201910,114.49513717582502,22.800584303916565,6
1862,1547,1479,1489,2122,2438,2684,2672,2192,1436,620000,201911,114.49513717582502,22.800584303916565,6
1565,1414,1327,1440,2148,2485,2205,2708,2286,1659,140000,201912,114.49513717582502,22.800584303916565,6
1385,1266,1038,1211,2537,2896,2970,3221,1769,1136,430000,202001,114.49513717582502,22.800584303916565,6
1648,1407,1277,1477,1953,2279,2247,2612,2175,1446,590000,202002,114.49513717582502,22.800584303916565,6
1555,1408,1175,1407,2341,2822,2715,3044,2265,1723,100000,202003,114.49513717582502,22.800584303916565,6
1330,1334,1155,1431,2371,2871,3047,3038,2442,1665,50000,202004,114.49513717582502,22.800584303916565,6
1617,1460,1361,1435,2111,2579,2592,2760,2245,1472,330000,202005,114.49513717582502,22.800584303916565,6
1728,1661,1441,1462,2149,2576,2879,2783,2526,1495,200000,202006,114.49513717582502,22.800584303916565,6
1789,1593,1631,1654,2247,2831,2772,3095,2770,1805,200000,202007,114.49513717582502,22.800584303916565,6
1981,1780,1626,1653,2346,2880,2725,3140,2548,1518,350000,202008,114.49513717582502,22.800584303916565,6
1585,1348,1219,1387,2004,2480,2193,2713,2819,1775,240000,202009,114.49513717582502,22.800584303916565,6
1453,1224,1079,1197,2044,2349,2210,2639,1954,1164,200000,202010,114.49513717582502,22.800584303916565,6
1908,1450,1374,1412,1939,2217,2545,2408,2213,1555,650000,202011,114.49513717582502,22.800584303916565,6
1587,1390,1256,1338,2559,2864,2643,3217,1792,1187,450000,202012,114.49513717582502,22.800584303916565,6
1741,1366,1371,1321,1661,1955,2232,2080,1948,1428,290000,202101,114.49513717582502,22.800584303916565,6
